ID	score	occurrence	all_genes	common_genes
Prostate cancer	0.0064	1	Ccnd1,Cdkn1a,E2f1,Grb2,Igf1,Il1r2,Mmp3,Nras,Pdgfb,Pdgfc,Pik3cb,Pik3cd,Plau,Spint1	n/a (just one condition)
Hepatocellular carcinoma	0.0067	2	Actb,Actg1,Bak1,Ccnd1,Cdk6,Cdkn1a,E2f1,Gadd45a,Gadd45b,Grb2,Hgf,Hmox1,Nfe2l2,Nras,Pik3cb,Pik3cd,Pik3r3,Plcg2,Shc2,Tgfb1,Tgfb2,Tgfbr1,Txnrd1,Wnt16	Actg1,Cdk6,E2f1,Gadd45a,Grb2,Hgf,Hmox1,Nras,Shc2,Tgfb1
Apelin signaling pathway	0.0071	1	Camk4,Gng8,Itpr1,Mef2c,Mylk,Mylk2,Mylk4,Plcb4,Prkaa2,Slc8a2	n/a (just one condition)
Hippo signaling pathway	0.0073	3	Actb,Actg1,Axin2,Bmpr1a,Bmpr1b,Ctgf,Ctnna3,Dlg3,Fgf1,Fzd4,Fzd7,Gdf6,Id2,Itgb2,Lef1,Nkd1,Ppp1cb,Serpine1,Tgfb1,Tgfb2,Tgfb3,Tgfbr1,Wnt16,Wnt5a,Ywhah	No common gene
MAPK signaling pathway	0.0076	3	Arrb1,Arrb2,Bdnf,Cacna1c,Cacna1d,Cacna2d1,Cacnb2,Cacng6,Cd14,Csf1r,Efna5,Epha2,Ereg,Fgf1,Fgf7,Fgfr2,Fgfr3,Flna,Flt1,Flt3,Flt4,Gadd45a,Gadd45b,Grb2,Hgf,Igf1,Igf2,Il1a,Il1b,Irak4,Map3k11,Map3k6,Map4k2,Map4k4,Mapkapk3,Mef2c,Mknk1,Mknk2,Myd88,Nfatc1,Nfkb2,Ngf,Nras,Ntf3,Pdgfa,Pdgfb,Pdgfc,Pdgfd,Pla2g4a,Rap1b,Rasgrp2,Rasgrp3,Rps6ka1,Rps6ka2,Taok3,Tgfb1,Tgfb2,Tgfb3,Tgfbr1,Tnf,Tnfrsf1a,Vegfb,Zak	No common gene
Arginine biosynthesis	0.0078	1	Glul,Gpt2,Nos1,Nos2	n/a (just one condition)
Necroptosis	0.0078	1	Bid,Casp1,Casp8,Cybb,Fth1,Ftl1,Il1a,Il1b,Il33,Irf9,Jak3,Nlrp3,Ripk3,Stat3,Ticam2,Tlr4,Tnf,Tnfaip3,Tnfrsf1a	n/a (just one condition)
Renin secretion	0.0079	1	Cacna1c,Clca3a1,Clca3a2,Ctsb,Gucy1a3,Gucy1b3,Itpr1,Itpr3,Kcnj2,Kcnma1,Npr1,Pde1a,Pde1b,Plcb2,Plcb4,Ptger2	n/a (just one condition)
cAMP signaling pathway	0.0079	2	Atp1b2,Cacna1c,Calml4,Camk4,Gli1,Gria4,Hhip,Myl9,Npr1,Npy1r,Plce1,Ppp1cb,Ppp1r12a,Ptch1,Rock1,Tiam1,Vipr2	Hhip,Vipr2
Renal cell carcinoma	0.0086	2	Arnt2,Cdkn1a,Grb2,Hgf,Hif1a,Nras,Pdgfb,Pik3cb,Pik3cd,Pik3r3,Rap1b,Slc2a1,Tgfb1,Tgfb2	Grb2,Hgf,Nras,Rap1b,Tgfb1
Wnt signaling pathway	0.009000000000000001	1	Axin2,Cxxc4,Fzd4,Lef1,Nkd1,Plcb4,Prickle1,Serpinf1,Sost,Wnt5a	n/a (just one condition)
Calcium signaling pathway	0.01	2	Adcy3,Adcy4,Adora2a,Adra1d,Atp2b1,Cacna1c,Cacna1g,Camk4,Cd38,Cysltr1,Erbb4,F2r,Gna15,Htr2b,Itpr1,Itpr3,Mylk,Mylk2,Mylk4,Nos1,Nos2,P2rx4,P2rx7,Pde1a,Pde1b,Plcb2,Plcb4,Plcg2,Ptafr,Ptger1,Ptk2b,Slc8a2,Sphk1	Cd38,Itpr3,Nos1,Nos2,Plcg2,Ptk2b
Signaling pathways regulating pluripotency of stem cells	0.0103	1	Bmpr1a,Bmpr1b,Fgfr2,Fzd7,Id2,Id4,Meis1,Smad9,Wnt16,Zfhx3	n/a (just one condition)
Arginine and proline metabolism	0.0104	1	Aldh1b1,Cndp2,Gatm,Nos1,Nos2,P4ha1,P4ha3,Sat1,Smox	n/a (just one condition)
Tight junction	0.0111	2	Actb,Actg1,Actn1,Actr2,Actr3,Arhgef2,Cacna1d,Dlg3,Hcls1,Itgb1,Jam3,Micall2,Msn,Myh10,Myh11,Myl6,Myl9,Rab8b,Rock1,Runx1,Src,Tuba1c	Cacna1d,Dlg3
Apoptosis - multiple species	0.0112	1	Bak1,Bcl2l11,Bid,Bok,Casp8,Pmaip1,Tnfrsf1a	n/a (just one condition)
Gastric cancer	0.0112	2	Ctnna3,E2f1,Fgf1,Fgf7,Fgfr2,Fzd7,Gadd45a,Gadd45b,Grb2,Hgf,Mlh1,Nras,Pik3r3,Shc2,Tgfb1,Tgfb2,Tgfb3,Tgfbr1,Wnt16	Mlh1,Tgfb2,Tgfbr1,Wnt16
Cytosolic DNA-sensing pathway	0.0113	1	Adar,Aim2,Casp1,Ccl4,Il1b,Il33,Il6,Irf7,Ripk3,Tmem173	n/a (just one condition)
Glycosphingolipid biosynthesis - globo and isoglobo series	0.0114	2	Gla,Hexa,Hexb,Naga,St3gal1	Gla,Hexa,Hexb,Naga
Cellular senescence	0.0134	2	Ccnd1,Cdk6,Cdkn1a,E2f1,Eif4ebp1,Foxo1,Gadd45a,H2-D1,H2-K1,H2-M2,H2-M9,H2-Q8,H2-T23,H2-T24,Igfbp3,Il1a,Il6,Itpr3,Nfatc1,Nfatc2,Nras,Pik3cb,Pik3cd,Tgfb1	Cdkn1a,H2-D1,H2-K1,Itpr3,Nfatc1,Nfatc2
Pancreatic cancer	0.013999999999999999	2	Bak1,Ccnd1,Cdk6,Cdkn1a,E2f1,Gadd45a,Gadd45b,Pik3cb,Pik3cd,Pik3r3,Ralgds,Stat3,Tgfb1,Tgfb2,Tgfbr1	Cdk6,E2f1,Gadd45a,Tgfb1
FoxO signaling pathway	0.013999999999999999	1	Bcl2l11,Ccnd1,Cdkn1a,Gadd45a,Grb2,Igf1,Il6,Il7r,Nras,Pik3cb,Pik3cd,Plk2,Plk3,Sgk1,Stat3,Tgfb1	n/a (just one condition)
Basal cell carcinoma	0.0172	2	Axin2,Fzd4,Gli1,Hhip,Lef1,Ptch1,Wnt2b,Wnt5a	Fzd4,Hhip
T cell receptor signaling pathway	0.0173	1	Cblb,Grb2,Nfatc1,Nfatc2,Nfkbie,Nras,Pik3cb,Pik3cd,Ptpn6,Tec,Tnf,Vav1,Vav2	n/a (just one condition)
Riboflavin metabolism	0.0178	3	Acp2,Acp5,Blvrb,Enpp1,Enpp3	Blvrb
PPAR signaling pathway	0.0194	2	Apoa1,Apoa2,Apoc3,Ehhadh,Fabp3,Nr1h3,Pltp,Ppard,Slc27a1,Slc27a2,Ucp1	No common gene
VEGF signaling pathway	0.0212	2	Mapkapk3,Nfatc2,Nras,Pik3cb,Pik3cd,Pik3r3,Pla2g4a,Plcg2,Ptgs2,Shc2,Sphk1,Src	Nras,Ptgs2,Shc2,Sphk1
Insulin secretion	0.0229	1	Atp1b2,Cacna1c,Cacna1d,Camk2g,Creb5,Kcnma1,Kcnmb1	n/a (just one condition)
Bladder cancer	0.023	1	E2f1,Hbegf,Mmp2,Nras,Src,Thbs1	n/a (just one condition)
Endocrine resistance	0.0275	2	Adcy3,Adcy4,Ccnd1,Cdkn1a,Dll4,E2f1,Grb2,Igf1,Jag2,Mmp2,Notch1,Notch4,Nras,Pik3cb,Pik3cd,Shc2	Cdkn1a,Dll4
Notch signaling pathway	0.0277	1	Dll4,Jag2,Lfng,Notch1,Notch4	n/a (just one condition)
Gastric acid secretion	0.0278	1	Atp1b2,Itpr1,Mylk,Mylk2,Mylk4,Plcb4	n/a (just one condition)
Aldosterone synthesis and secretion	0.0278	2	Adcy3,Adcy4,Atp1b2,Cacna1c,Cacna1g,Camk4,Dagla,Itpr1,Itpr3,Kcnk3,Npr1,Pde2a,Plcb4,Scarb1	No common gene
Adrenergic signaling in cardiomyocytes	0.0284	1	Atp1b2,Atp2b4,Cacna1c,Cacna1d,Cacna2d1,Cacnb2,Camk2g,Creb5,Slc8a1	n/a (just one condition)
GnRH signaling pathway	0.0304	1	Cacna1d,Grb2,Hbegf,Mmp14,Mmp2,Nras,Pla2g4a,Prkcd,Src	n/a (just one condition)
Peroxisome	0.0311	1	Ech1,Mlycd,Nudt19,Slc25a17	n/a (just one condition)
Glycosaminoglycan biosynthesis - keratan sulfate	0.0316	1	B3gnt7,B4galt1,Chst2,St3gal1	n/a (just one condition)
Nitrogen metabolism	0.0356	1	Car4,Car5b,Glul	n/a (just one condition)
Insulin signaling pathway	0.0364	1	Eif4ebp1,Foxo1,Mknk2,Ppp1r3d,Prkaa2,Pygm	n/a (just one condition)
Primary immunodeficiency	0.0369	2	Blnk,Btk,Cd40,Ciita,Il7r,Jak3	Blnk,Btk,Ciita,Jak3
mTOR signaling pathway	0.038	1	Atp6v1a,Atp6v1b2,Atp6v1c1,Atp6v1e1,Fnip2,Grb2,Igf1,Nras,Pik3cb,Pik3cd,Rps6ka1,Rps6ka2,Sgk1,Slc3a2,Tnf,Tnfrsf1a	n/a (just one condition)
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0.0386	1	Hs6st1,Hs6st2,Ndst2,Xylt1,Xylt2	n/a (just one condition)
Arachidonic acid metabolism	0.0475	1	Cyp4f18,Ptges,Tbxas1	n/a (just one condition)
Endometrial cancer	0.0495	1	Bak1,Ccnd1,Cdkn1a,Gadd45a,Grb2,Nras,Pik3cb,Pik3cd	n/a (just one condition)
Inflammatory mediator regulation of TRP channels	0.0495	1	F2rl1,Htr2b,Igf1,Il1b,Itpr3,Ngf,Pik3cb,Pik3cd,Plcb2,Plcg2,Prkch,Ptger2,Trpv2	n/a (just one condition)
Long-term depression	0.0497	1	Gucy1a3,Gucy1b3,Itpr1,Pla2g4e,Plcb4	n/a (just one condition)
