term	common	ctrl_t0_green_VS_ctrl_t0_red_FC	ctrl_t0_red_VS_ctrl_t0_blue_FC	ctrl_t1_green_VS_ctrl_t1_red_FC	ctrl_t1_red_VS_ctrl_t1_blue_FC	treatment_t0_green_VS_treatment_t0_red_FC	treatment_t0_red_VS_treatment_t0_blue_FC	treatment_t1_green_VS_treatment_t1_blue_FC	treatment_t1_green_VS_treatment_t1_red_FC	treatment_t1_red_VS_treatment_t1_blue_FC
positive regulation of interleukin-5 production	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0446
positive regulation of interleukin-6 biosynthetic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0051
positive regulation of interleukin-6 production	{'Unc93b1'}	1.0	1.0	1.0	1.0	0.0039	0.00018999999999999998	0.00058	0.00047999999999999996	1.2199999999999999e-11
positive regulation of interleukin-6 secretion	{'Unc93b1', 'Il1b', 'Tlr8'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.026000000000000002	0.0314
positive regulation of interleukin-8 biosynthetic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0147
positive regulation of interleukin-8 production	{'Cd14', 'Tlr8'}	1.0	1.0	1.0	1.0	1.0	1.0	0.015	0.00022999999999999998	1.42e-05
positive regulation of interleukin-8 secretion	{'Cd14'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0221	0.0309	0.0031
positive regulation of intracellular protein transport	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0148	1.0	1.0
positive regulation of intracellular signal transduction	{'Csf1r'}	0.0005200000000000001	0.0275	1.0	1.0	6.29e-07	0.00011	2e-12	1.0499999999999999e-09	7.940000000000002e-23
positive regulation of intracellular transport	{'Fgr', 'Hcls1', 'Itgam', 'Syk', 'Fcer1g'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0009699999999999999	0.0411	0.0105
positive regulation of intrinsic apoptotic signaling pathway	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0256
positive regulation of ion transmembrane transporter activity	{'Ank2', 'Fgf14', 'Dmd', 'Cacnb2', 'Atp1b2'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0052	0.0408
positive regulation of ion transport	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0116	0.0455	0.0021
positive regulation of isotype switching to IgA isotypes	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0214	1.0	1.0
positive regulation of keratinocyte apoptotic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	0.011000000000000001	1.0	1.0	1.0
positive regulation of keratinocyte migration	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0078	1.0	1.0
positive regulation of killing of cells of other organism	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.013999999999999999
positive regulation of kinase activity	{'Csf1r'}	0.0463	1.0	1.0	1.0	8.7e-05	0.0078	6.049999999999999e-08	6.330000000000001e-05	0.0454
positive regulation of lamellipodium organization	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0359	1.0	1.0
positive regulation of leukocyte activation	{'Fgr', 'Cd300lb', 'Syk', 'Itgb2'}	1.0	1.0	1.0	1.0	0.0021	0.0009599999999999999	2.48e-06	4.1600000000000005e-09	5.570000000000001e-17
positive regulation of leukocyte adhesion to vascular endothelial cell	{'Ptafr', 'Icam1'}	1.0	1.0	1.0	1.0	1.0	0.0322	1.0	1.0	0.0027
positive regulation of leukocyte apoptotic process	{'Siglec1'}	1.0	1.0	1.0	1.0	0.0361	1.0	1.0	0.0112	0.00067
positive regulation of leukocyte cell-cell adhesion	{'Syk'}	1.0	1.0	1.0	1.0	0.0341	0.0014	0.0062	7.6e-05	4.88e-12
positive regulation of leukocyte chemotaxis	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	0.0018	0.0016	0.0357	3.21e-13
positive regulation of leukocyte degranulation	{'Fgr', 'Itgb2'}	1.0	1.0	1.0	0.0053	0.0044	0.0047	0.0024	0.00016	0.0002
positive regulation of leukocyte differentiation	{'Syk', 'Csf1r'}	1.0	1.0	1.0	1.0	0.0361	0.0224	0.0014	0.00016999999999999999	1.69e-08
positive regulation of leukocyte mediated cytotoxicity	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.1400000000000001e-05
positive regulation of leukocyte mediated immunity	{'Fgr', 'Itgb2', 'Fcgr3', 'Itgam', 'Syk', 'Fcgr1', 'Fcer1g'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0006	8.86e-06	4.27e-10
positive regulation of leukocyte migration	{'No common gene'}	1.0	1.0	1.0	0.0081	5.02e-05	1.54e-07	4.42e-06	0.0152	2.74e-18
positive regulation of leukocyte proliferation	{'Cd74', 'Cdkn1a', 'Nfatc2', 'Cd38', 'Havcr2', 'Syk', 'Tlr9', 'Lyn', 'Il1b', 'Jak3', 'Bst1'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00016999999999999999	3.97e-07
positive regulation of leukocyte tethering or rolling	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0309
positive regulation of lipase activity	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0139	1.0
positive regulation of lipid biosynthetic process	{'Abcg1'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0441	0.0007	1.0
positive regulation of lipid localization	{'Abca1', 'Pltp', 'Abcg1'}	1.0	1.0	1.0	1.0	1.0	1.0	5.2000000000000004e-05	4.93e-06	1.45e-06
positive regulation of lipid metabolic process	{'No common gene'}	1.0	0.0178	1.0	1.0	1.0	1.0	0.0287	1.0300000000000001e-05	0.027999999999999997
positive regulation of lipid storage	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0155	1.0
positive regulation of lipid transport	{'Pltp', 'Abcg1'}	1.0	1.0	1.0	0.0305	0.001	0.0017	1.4999999999999999e-05	0.00039	9.78e-06
positive regulation of lipoprotein lipase activity	{'Gpihbp1'}	1.0	0.0386	1.0	1.0	1.0	1.0	1.0	0.0165	1.0
positive regulation of lipoprotein particle clearance	{'Lipg', 'Gpihbp1'}	1.0	1.0	1.0	1.0	0.0475	1.0	1.0	0.0446	1.0
positive regulation of locomotion	{'Lbp', 'Mmp2', 'Csf1r'}	3.15e-05	0.00018	1.0	1.0	2.8399999999999997e-11	1.0	1.0	1.0	0.0013
positive regulation of lymphocyte activation	{'Syk'}	1.0	1.0	1.0	1.0	1.0	0.0492	0.0012	6.53e-06	1.95e-12
positive regulation of lymphocyte chemotaxis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00028
positive regulation of lymphocyte differentiation	{'Syk'}	1.0	1.0	1.0	1.0	0.0338	1.0	0.0204	0.00059	5.71e-08
positive regulation of lymphocyte mediated immunity	{'H2-K1', 'Fcgr3', 'Btk', 'Fcgr1', 'H2-D1', 'Fcer1g', 'Il1b', 'C3'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0049	8.729999999999998e-07
positive regulation of lymphocyte migration	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.11e-05
positive regulation of lymphocyte proliferation	{'Syk'}	1.0	1.0	1.0	1.0	1.0	0.011000000000000001	0.0217	0.0004	5.839999999999999e-07
positive regulation of macromolecule biosynthetic process	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.86e-05	0.004
positive regulation of macromolecule metabolic process	{'No common gene'}	0.0031	1.0	1.0	1.0	0.00018999999999999998	0.0055	1.18e-10	3.8e-09	0.0074
positive regulation of macrophage activation	{'Havcr2', 'Il4ra', 'Lbp', 'Itgam'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0194	0.00036
positive regulation of macrophage chemotaxis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0112
positive regulation of macrophage cytokine production	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0107	1.0
positive regulation of macrophage migration	{'Thbs1', 'Mmp14', 'Ccl2', 'Cx3cl1', 'C3ar1'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0175	1.0	0.0042
positive regulation of mast cell activation	{'Fgr', 'Cd300lb'}	1.0	1.0	1.0	0.0053	1.0	0.0309	0.01	0.00016	0.0116
positive regulation of mast cell degranulation	{'Fgr', 'Fcer1g'}	1.0	1.0	1.0	0.0367	1.0	1.0	1.0	0.0019	0.0387
positive regulation of membrane protein ectodomain proteolysis	{'Adam8', 'Tnfrsf1b'}	1.0	1.0	1.0	0.0245	1.0	1.0	1.0	0.0352	0.017
positive regulation of mesenchymal cell proliferation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0041	1.0
positive regulation of metabolic process	{'No common gene'}	1.0	1.0	1.0	1.0	2.52e-05	0.00075	3.58e-12	7.93e-11	0.0181
positive regulation of microtubule nucleation	{'n/a (just one condition)'}	1.0	0.0141	1.0	1.0	1.0	1.0	1.0	1.0	1.0
positive regulation of mitochondrial depolarization	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.018000000000000002	1.0	1.0	1.0	1.0
positive regulation of molecular function	{'No common gene'}	1.0	1.0	1.0	1.0	4.3e-07	0.00035	2.07e-12	6.8e-11	0.0211
positive regulation of monocyte chemotactic protein-1 production	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0306
positive regulation of monocyte chemotaxis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0028
positive regulation of mononuclear cell migration	{'Lgmn', 'Ccl2', 'Tgfb1', 'Lgals3'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0289	1.0	0.00056
positive regulation of monooxygenase activity	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0215
positive regulation of multi-organism process	{'Pik3ap1', 'Tlr13', 'Unc93b1'}	1.0	1.0	1.0	0.0268	1.0	0.0025	4.46e-06	3.8100000000000004e-08	3.16e-15
positive regulation of multicellular organismal process	{'No common gene'}	0.00016999999999999999	0.0017	1.0	0.0135	2.39e-12	9.549999999999999e-11	1.6800000000000004e-21	1.76e-11	0.0074
positive regulation of muscle cell differentiation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0182	1.0	1.0
positive regulation of myeloid cell differentiation	{'Hcls1', 'Itgam', 'Inpp5d', 'Fes', 'Csf1r'}	1.0	1.0	1.0	1.0	1.0	1.0	0.00018999999999999998	0.0141	0.0018
positive regulation of myeloid leukocyte cytokine production involved in immune response	{'Cd74', 'Fcer1g'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0025	0.0306
positive regulation of myeloid leukocyte differentiation	{'Ccl3', 'Hcls1', 'Runx1', 'Itgam', 'Lif', 'Csf1r'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0226	1.0	0.0202
positive regulation of myeloid leukocyte mediated immunity	{'Fgr', 'Itgb2'}	1.0	1.0	1.0	2.9199999999999998e-05	0.0068	0.0009	4e-05	5.97e-08	9.06e-07
positive regulation of myoblast fusion	{'Nfatc2', 'Ccl8', 'Il4ra', 'Cd53'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0136	0.0446
positive regulation of natural killer cell chemotaxis	{'Ccl3', 'Ccl4', 'Ccl7'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0214	1.0	0.0415
positive regulation of nervous system development	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0013	1.0	1.0	1.0	1.0
positive regulation of neural precursor cell proliferation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.026000000000000002	1.0
positive regulation of neurogenesis	{'Tlr2', 'Plxnb2', 'Hgf', 'Cx3cr1', 'Scn1b', 'Gdf6'}	1.0	1.0	1.0	1.0	0.0027	1.0	0.0359	1.0	0.0013
positive regulation of neuron apoptotic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0162	1.0
positive regulation of neuron death	{'Ctsz', 'Trpm2', 'Fcgr2b', 'Itgam', 'Ncf2', 'Nos1', 'Il1b'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0011	0.0035
positive regulation of neuron differentiation	{'Scn1b', 'Plxnb2', 'Hgf', 'Gdf6'}	1.0	1.0	1.0	1.0	0.0107	1.0	0.0354	1.0	0.0073
positive regulation of neuron projection development	{'Actr3', 'Plxnb2', 'Abl2', 'Hgf', 'Crabp2', 'Ptk7', 'Cfl1', 'Actr2', 'Trpv2', 'Iqgap1', 'Mapk6', 'Lif', 'Zeb2', 'Cx3cl1', 'Sphk1', 'Grn', 'Ngf', 'Fes', 'Fn1', 'Scn1b'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0376	1.0	0.0013
positive regulation of neutrophil apoptotic process	{'Cd44'}	1.0	1.0	1.0	1.0	0.0419	0.019	1.0	1.0	0.0007
positive regulation of neutrophil chemotaxis	{'Nckap1l', 'Lbp'}	1.0	1.0	1.0	1.0	0.0296	0.0008	1.0	1.0	1.87e-05
positive regulation of neutrophil degranulation	{'Itgb2'}	1.0	1.0	1.0	1.0	0.003	0.0149	0.0111	0.0352	0.0219
positive regulation of neutrophil migration	{'Il1a', 'Edn1', 'Cxcl1', 'Nckap1l', 'Adam8', 'C3ar1'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0322	1.0	5.76e-06
positive regulation of nitric oxide biosynthetic process	{'Icam1', 'Il1b', 'Ptk2b', 'Itgb2'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0059	1.42e-05
positive regulation of nitric-oxide synthase biosynthetic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0335
positive regulation of nitrogen compound metabolic process	{'No common gene'}	0.0043	1.0	1.0	1.0	0.00016999999999999999	0.0057	6.6e-09	3.6200000000000003e-09	0.0146
positive regulation of non-canonical Wnt signaling pathway	{'Gpc3'}	0.0397	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0377
positive regulation of nucleic acid-templated transcription	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.209999999999999e-05	1.0
positive regulation of nucleobase-containing compound metabolic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00037999999999999997	1.0
positive regulation of organ growth	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0154	1.0
positive regulation of organelle organization	{'Fmn1', 'Actr3', 'Bcl2l11', 'Edn1', 'Grb2', 'Anxa2', 'Sdc1', 'Gba', 'Bid', 'Pkib', 'Arpc4', 'Sdcbp', 'Arpc1b', 'Hck', 'Cfl1', 'Actr2', 'Nckap1l', 'Plek', 'Arpc5', 'Plaur', 'Sh3pxd2b', 'Il1a', 'Anxa1', 'Lif', 'Tmed9', 'Evl', 'Pip4k2a', 'Tgfb1', 'Fes', 'Lcp1'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0021	1.0	0.0072
positive regulation of ossification	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0128	0.00033999999999999997	0.0145
positive regulation of osteoblast differentiation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.031	1.0
positive regulation of osteoblast proliferation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0185	1.0	1.0
positive regulation of ovulation	{'Inhbb'}	1.0	1.0	1.0	1.0	0.0338	1.0	0.0111	1.0	1.0
positive regulation of oxidative stress-induced cell death	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0077
positive regulation of oxidative stress-induced neuron death	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0018
positive regulation of oxidoreductase activity	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00053
positive regulation of p38MAPK cascade	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0061
positive regulation of pathway-restricted SMAD protein phosphorylation	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.00016	0.0108	0.0415
positive regulation of peptidase activity	{'Lgmn'}	1.0	1.0	1.0	1.0	0.0183	0.025	1.0	1.0	0.00011999999999999999
positive regulation of peptide secretion	{'Fgr', 'Unc93b1', 'Mmp13', 'Cd38', 'Tlr8', 'Cd14', 'Havcr2', 'Syk', 'Cd300c2', 'Csf1r'}	1.0	1.0	1.0	1.0	1.0	1.0	4.54e-09	2.55e-06	2.470000000000001e-12
positive regulation of peptidyl-serine phosphorylation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0442	1.0	1.0
positive regulation of peptidyl-tyrosine autophosphorylation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	0.0277	1.0	1.0	1.0
positive regulation of peptidyl-tyrosine phosphorylation	{'Csf1r'}	0.0301	1.0	1.0	1.0	0.00015	0.0134	5.34e-07	0.00053	2.71e-08
positive regulation of phagocytosis	{'Slc11a1'}	1.0	1.0	1.0	1.7800000000000002e-05	0.0005099999999999999	0.00016	2.34e-05	3.4899999999999995e-05	2.4500000000000003e-10
positive regulation of phagocytosis, engulfment	{'Lbp'}	1.0	1.0	1.0	1.0	0.0209	1.0	1.0	0.0232	0.0088
positive regulation of phosphatase activity	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.034	1.0
positive regulation of phosphate metabolic process	{'No common gene'}	1.0	1.0	1.0	1.0	3.77e-08	0.00031	1.6899999999999999e-16	2.75e-08	0.0303
positive regulation of phosphatidylinositol 3-kinase activity	{'Fgr'}	1.0	1.0	1.0	1.0	1.0	0.0386	1.0	0.00029	0.0199
positive regulation of phosphatidylinositol 3-kinase signaling	{'Fgr', 'Pik3ap1'}	1.0	1.0	1.0	1.0	3.5600000000000005e-05	0.0394	0.00029	0.00043	4.28e-05
positive regulation of phospholipase C activity	{'Ptafr', 'Sele', 'Pdgfra'}	1.0	1.0	1.0	1.0	0.0031	0.0251	1.0	1.0	1.0
positive regulation of phospholipid metabolic process	{'Fgr', 'Pdgfb', 'Ptk2b', 'Lyn'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00032	0.0318
positive regulation of phosphorylation	{'No common gene'}	1.0	1.0	1.0	1.0	2.91e-06	0.0012	8.08e-16	6.01e-07	0.0233
positive regulation of platelet activation	{'Pdpn', 'Selp'}	1.0	1.0	1.0	1.0	1.0	0.0235	0.003	1.0	0.0077
positive regulation of podosome assembly	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0221	1.0	1.0
positive regulation of potassium ion transmembrane transport	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0025	1.0
positive regulation of potassium ion transport	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0013	1.0
positive regulation of pri-miRNA transcription by RNA polymerase II	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0396	1.0	1.0
positive regulation of production of molecular mediator of immune response	{'Cd74', 'Il4ra', 'Tlr9', 'Fcer1g', 'Il1b', 'Cd37'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0032	0.00013000000000000002
positive regulation of programmed cell death	{'Ctsz', 'Cdkn1a', 'Siglec1', 'Xdh', 'Tnfrsf1b', 'Inpp5d', 'Runx3', 'Ncf2', 'Irf5', 'Adam8', 'Il1b', 'Jak3', 'Lyn'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0003	1.35e-09
positive regulation of prostaglandin biosynthetic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0214	1.0	1.0
positive regulation of prostaglandin secretion	{'Edn1', 'P2rx7', 'Il1a'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0153	1.0	0.0373
positive regulation of protein autophosphorylation	{'Rap2a', 'Ngf', 'Gpnmb', 'Syk', 'Rap2b', 'Pdgfc', 'Iqgap1'}	1.0	1.0	1.0	1.0	1.0	1.0	3.8e-05	1.0	7.49e-05
positive regulation of protein binding	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0384
positive regulation of protein catabolic process	{'Clu', 'Gba', 'Lonrf3', 'Tnfaip3', 'Ctsc', 'Dab2', 'Tnfrsf1b', 'Lrp1', 'Nsf', 'Snx1', 'Rnf180', 'Zfand2a', 'Adam9', 'Adam8'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0451	1.0	0.0042
positive regulation of protein complex assembly	{'Plek', 'Lcp1', 'Evl', 'Fes'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0016	0.0182	1.3500000000000001e-05
positive regulation of protein homooligomerization	{'n/a (just one condition)'}	1.0	0.0435	1.0	1.0	1.0	1.0	1.0	1.0	1.0
positive regulation of protein kinase B signaling	{'Hpse'}	0.0169	1.0	1.0	1.0	0.0043	0.0144	0.00053	1.0	0.0003
positive regulation of protein kinase activity	{'No common gene'}	1.0	1.0	1.0	1.0	0.00045999999999999996	0.0421	1.1e-07	0.00056	0.0454
positive regulation of protein localization to membrane	{'Lrp1'}	0.015	1.0	1.0	1.0	0.033	1.0	0.0193	1.0	0.0343
positive regulation of protein localization to plasma membrane	{'n/a (just one condition)'}	0.0126	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
positive regulation of protein maturation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0039	1.0	1.0	1.0	1.0
positive regulation of protein metabolic process	{'No common gene'}	4.1e-05	0.0337	1.0	1.0	3.9700000000000005e-08	3.64e-06	8.15e-16	3.429999999999999e-09	0.0063
positive regulation of protein modification process	{'No common gene'}	1.0	1.0	1.0	1.0	1.1900000000000001e-05	0.004	5.35e-14	1.93e-06	0.0092
positive regulation of protein phosphorylation	{'No common gene'}	0.00057	1.0	1.0	1.0	2.05e-06	0.0014	3.5e-16	3.53e-07	0.0216
positive regulation of protein polymerization	{'Arpc5', 'Fmn1', 'Arpc4', 'Actr3', 'Arpc1b', 'Evl', 'Grb2', 'Fes', 'Actr2', 'Nckap1l'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0136	1.0	0.0012
positive regulation of protein processing	{'Clec3b', 'Gsn', 'Ccbe1'}	1.0	1.0	1.0	1.0	0.018000000000000002	0.0251	1.0	1.0	1.0
positive regulation of protein secretion	{'Fgr', 'Unc93b1', 'Syk', 'Cd300c2', 'Csf1r'}	1.0	1.0	1.0	1.0	0.0119	0.0296	3.45e-09	5.32e-06	1.92e-12
positive regulation of protein serine/threonine kinase activity	{'Syk', 'Csf1r'}	1.0	1.0	1.0	1.0	0.013999999999999999	1.0	4.46e-06	0.004	1.25e-07
positive regulation of protein transport	{'Fgr', 'Unc93b1', 'Itgam', 'Syk', 'Cd300c2', 'Csf1r'}	1.0	1.0	1.0	1.0	0.0275	1.0	5.14e-11	1.58e-05	7.41e-12
positive regulation of protein tyrosine kinase activity	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.013000000000000001	1.0
positive regulation of proteoglycan biosynthetic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0457	1.0
positive regulation of proteolysis	{'Lgmn', 'Tnfrsf1b', 'Ctsh'}	1.0	1.0	1.0	1.0	1.0	0.0349	0.0133	1.0	1.65e-07
positive regulation of reactive oxygen species biosynthetic process	{'Itgb2', 'Icam1', 'Tlr2', 'Cyba'}	1.0	1.0	1.0	1.0	1.0	0.027999999999999997	1.0	1.0	3.54e-05
positive regulation of reactive oxygen species metabolic process	{'Itgb2'}	1.0	1.0	1.0	1.0	0.0112	0.0119	0.001	0.00013000000000000002	1.7e-10
positive regulation of receptor binding	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0423	1.0	1.0
positive regulation of receptor internalization	{'Syk', 'Sele'}	1.0	1.0	1.0	1.0	0.0276	0.0349	0.0428	1.0	0.0046
positive regulation of receptor recycling	{'Dab2', 'Nsf', 'Rab29', 'Arap1', 'Anxa2'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0081	1.0	0.0014
positive regulation of receptor signaling pathway via JAK-STAT	{'Hcls1', 'Il6ra', 'Ptk2b', 'Parp14', 'Lyn', 'Csf1r'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0006799999999999999	0.00029
positive regulation of receptor signaling pathway via STAT	{'Il7r', 'Hcls1', 'Osm', 'Crlf1', 'Crlf2', 'F2r', 'Lif', 'Csf1r'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0448	1.0	4.18e-05
positive regulation of receptor-mediated endocytosis	{'Syk', 'Sele'}	1.0	1.0	1.0	1.0	1.0	0.033	0.0021	1.0	0.00023999999999999998
positive regulation of regulated secretory pathway	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0038
positive regulation of response to biotic stimulus	{'Pik3ap1', 'Tlr13', 'Unc93b1'}	1.0	1.0	1.0	1.0	1.0	0.00098	0.00027	1.75e-09	7.01e-17
positive regulation of response to cytokine stimulus	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00045
positive regulation of response to external stimulus	{'Pik3ap1', 'Unc93b1'}	1.0	1.0	1.0	2.49e-05	0.00047000000000000004	0.00015	1.59e-08	4.59e-15	1.9e-30
positive regulation of response to stimulus	{'No common gene'}	1.32e-09	5.09e-06	1.0	4.49e-06	2.53e-17	1.87e-15	3.1699999999999996e-26	1.74e-24	0.0057
positive regulation of secretion	{'Fgr', 'Unc93b1', 'Cd300c2', 'Itgb2'}	1.0	1.0	1.0	0.0056	1.0	0.0017	5.14e-13	1.9e-05	1.9899999999999999e-13
positive regulation of secretion by cell	{'Fgr', 'Unc93b1', 'Cd300c2', 'Itgb2'}	1.0	1.0	1.0	0.0138	0.0013	0.0025	1.46e-12	0.00011	2.34e-13
positive regulation of signal transduction	{'No common gene'}	1.1100000000000002e-08	0.001	1.0	1.0	1.1000000000000001e-10	2.09e-08	7.259999999999998e-19	3.52e-13	0.00045
positive regulation of signaling	{'No common gene'}	6.890000000000002e-09	0.00022	1.0	1.0	1.0800000000000001e-11	1.1499999999999999e-08	2.17e-19	1.49e-12	0.00065
positive regulation of small GTPase mediated signal transduction	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.00063	1.0	1.0	1.0	1.0
positive regulation of small molecule metabolic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0183	1.0
positive regulation of smooth muscle cell migration	{'Tmsb4x', 'Postn'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0213	0.0228	1.0
positive regulation of smooth muscle cell proliferation	{'Mmp2'}	1.0	0.0146	1.0	1.0	0.0361	0.00072	4.6e-05	1.0	3.2500000000000004e-05
positive regulation of smoothened signaling pathway	{'n/a (just one condition)'}	0.0044	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
positive regulation of steroid biosynthetic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0314
